Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mr4Tfs-SmartDocsTCSuites,Firefox 57.0,Prereq Contains Login And Open Project,2018-01-23 15:08:25,2018-01-23 15:08:47,21.586s,FAILED
,,,,,,
Test Cases/StandAlone-Prereqs/Mr4TfsLogin-StandAlone,Firefox 57.0,,2018-01-23 15:08:25,2018-01-23 15:08:39,13.479s,PASSED
"Statement - tfsServerUrl = ""M4Tfs-StandAlone/LoginPage/mr4tfs-TFSServerURL""",Firefox 57.0,,2018-01-23 15:08:26,2018-01-23 15:08:26,0.001s,PASSED
"Statement - tfsUserName = ""M4Tfs-StandAlone/LoginPage/mr4tfs-EmailAddress""",Firefox 57.0,,2018-01-23 15:08:26,2018-01-23 15:08:26,0.001s,PASSED
"Statement - tfsPassword = ""M4Tfs-StandAlone/LoginPage/mr4tfs-Password""",Firefox 57.0,,2018-01-23 15:08:26,2018-01-23 15:08:26,0.001s,PASSED
"Statement - signInBtn = ""M4Tfs-StandAlone/LoginPage/mr4tfs-SignInBtn""",Firefox 57.0,,2018-01-23 15:08:26,2018-01-23 15:08:26,0.000s,PASSED
"Statement - browseProjectButton = ""M4Tfs-StandAlone/RecentProjectPage/mr4tfs-_BrowseProjects""",Firefox 57.0,,2018-01-23 15:08:26,2018-01-23 15:08:26,0.001s,PASSED
openBrowser,Firefox 57.0,,2018-01-23 15:08:26,2018-01-23 15:08:31,5.424s,PASSED
maximizeWindow,Firefox 57.0,,2018-01-23 15:08:31,2018-01-23 15:08:31,0.062s,PASSED
navigateToUrl,Firefox 57.0,,2018-01-23 15:08:31,2018-01-23 15:08:37,6.038s,PASSED
setText,Firefox 57.0,,2018-01-23 15:08:37,2018-01-23 15:08:37,0.120s,PASSED
setText,Firefox 57.0,,2018-01-23 15:08:37,2018-01-23 15:08:37,0.049s,PASSED
setText,Firefox 57.0,,2018-01-23 15:08:37,2018-01-23 15:08:37,0.046s,PASSED
click,Firefox 57.0,,2018-01-23 15:08:37,2018-01-23 15:08:39,1.388s,PASSED
waitForElementVisible,Firefox 57.0,,2018-01-23 15:08:39,2018-01-23 15:08:39,0.054s,PASSED
Statement - browseProjectButtonText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(browseProjectButton)),Firefox 57.0,,2018-01-23 15:08:39,2018-01-23 15:08:39,0.025s,PASSED
"Statement - assert browseProjectButtonText == ""Browse""",Firefox 57.0,,2018-01-23 15:08:39,2018-01-23 15:08:39,0.001s,PASSED
,,,,,,
Test Cases/StandAlone-Prereqs/OpenProject,Firefox 57.0,"Define Collection Name, And Project Name.",2018-01-23 15:08:39,2018-01-23 15:08:43,4.297s,PASSED
"Statement - browseButton = ""M4Tfs-StandAlone/RecentProjectPage/mr4tfs-_BrowseProjects""",Firefox 57.0,,2018-01-23 15:08:39,2018-01-23 15:08:39,0.001s,PASSED
"Statement - navigateButton = ""Object Repository/M4Tfs-StandAlone/RecentProjectPage/mr4tfs-ProjectNavigate""",Firefox 57.0,,2018-01-23 15:08:39,2018-01-23 15:08:39,0.001s,PASSED
click,Firefox 57.0,,2018-01-23 15:08:39,2018-01-23 15:08:39,0.220s,PASSED
"Statement - collectionList = CustomKeywords.edev.automatekatlon.com.GetCustomTestObject.getCustomTestObjectBy(""css"", CollectionValue(GetCollectionName()))",Firefox 57.0,,2018-01-23 15:08:39,2018-01-23 15:08:39,0.000s,PASSED
"Statement - return com.kms.katalon.core.testdata.TestDataFactory.findTestData(Configurations).getValue(CollectionName, 1)",Firefox 57.0,,2018-01-23 15:08:39,2018-01-23 15:08:39,0.002s,PASSED
"Statement - return ((#treeviewProjects > ul > li[title="" + collectionName) + ""] span)",Firefox 57.0,,2018-01-23 15:08:39,2018-01-23 15:08:39,0.021s,PASSED
"Statement - className = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(collectionList, ""class"", STOP_ON_FAILURE)",Firefox 57.0,,2018-01-23 15:08:39,2018-01-23 15:08:40,0.534s,PASSED
"Statement - If (className.contains(""k-i-expand""))",Firefox 57.0,,2018-01-23 15:08:40,2018-01-23 15:08:40,0.235s,PASSED
"Statement - projectList = CustomKeywords.edev.automatekatlon.com.GetCustomTestObject.getCustomTestObjectBy(""css"", ProjectValue(GetProjectName()))",Firefox 57.0,,2018-01-23 15:08:40,2018-01-23 15:08:40,0.000s,PASSED
"Statement - return com.kms.katalon.core.testdata.TestDataFactory.findTestData(Configurations).getValue(Project, 1)",Firefox 57.0,,2018-01-23 15:08:40,2018-01-23 15:08:40,0.004s,PASSED
"Statement - return ((li[title="" + projectName) + ""])",Firefox 57.0,,2018-01-23 15:08:40,2018-01-23 15:08:40,0.001s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(projectList) == false),Firefox 57.0,,2018-01-23 15:08:40,2018-01-23 15:08:41,0.553s,PASSED
Statement - Else,Firefox 57.0,,2018-01-23 15:08:41,2018-01-23 15:08:41,0.245s,PASSED
waitForElementClickable,Firefox 57.0,,2018-01-23 15:08:41,2018-01-23 15:08:41,0.557s,PASSED
click,Firefox 57.0,,2018-01-23 15:08:41,2018-01-23 15:08:42,0.252s,PASSED
"Statement - dashboardProjectName = CustomKeywords.edev.automatekatlon.com.GetCustomTestObject.getCustomTestObjectBy(""css"", ""span.title.project-name"")",Firefox 57.0,,2018-01-23 15:08:42,2018-01-23 15:08:42,0.001s,PASSED
waitForElementVisible,Firefox 57.0,,2018-01-23 15:08:42,2018-01-23 15:08:43,1.556s,PASSED
Statement - assert com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(dashboardProjectName) == GetProjectName(),Firefox 57.0,,2018-01-23 15:08:43,2018-01-23 15:08:43,0.013s,PASSED
"Statement - return com.kms.katalon.core.testdata.TestDataFactory.findTestData(Configurations).getValue(Project, 1)",Firefox 57.0,,2018-01-23 15:08:43,2018-01-23 15:08:43,0.002s,PASSED
,,,,,,
Test Cases/StandAlone-Prereqs/OpenSmartDocModule,Firefox 57.0,,2018-01-23 15:08:43,2018-01-23 15:08:45,1.643s,PASSED
click,Firefox 57.0,,2018-01-23 15:08:43,2018-01-23 15:08:45,1.579s,PASSED
delay,Firefox 57.0,,2018-01-23 15:08:45,2018-01-23 15:08:45,0.001s,NOT_RUN
,,,,,,
Test Cases/SmartDocs/VerifyThatUserIsAbleToCreateSmartDocFileOnBlankTemplate,Firefox 57.0,"Test Case Id : 18681,\nTest Case Developed By : Mubbashir Shakil,\nTest Case Created On : 23/Jan/2018",2018-01-23 15:08:45,2018-01-23 15:08:47,1.599s,FAILED
click,Firefox 57.0,,2018-01-23 15:08:45,2018-01-23 15:08:46,0.684s,PASSED
click,Firefox 57.0,,2018-01-23 15:08:46,2018-01-23 15:08:46,0.629s,PASSED
setText,Firefox 57.0,,2018-01-23 15:08:46,2018-01-23 15:08:47,0.181s,FAILED
