Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mr4TfsPrereqs,Firefox 57.0,Prereq Contains Login And Open Project,2018-01-15 18:11:16,2018-01-15 18:11:56,40.351s,PASSED
,,,,,,
Test Cases/Mr4TfsLogin,Firefox 57.0,Login Test Case,2018-01-15 18:11:16,2018-01-15 18:11:53,37.280s,PASSED
openBrowser,Firefox 57.0,,2018-01-15 18:11:16,2018-01-15 18:11:21,4.358s,PASSED
maximizeWindow,Firefox 57.0,,2018-01-15 18:11:21,2018-01-15 18:11:21,0.058s,PASSED
navigateToUrl,Firefox 57.0,,2018-01-15 18:11:21,2018-01-15 18:11:51,30.471s,PASSED
setText,Firefox 57.0,,2018-01-15 18:11:51,2018-01-15 18:11:51,0.129s,PASSED
setText,Firefox 57.0,,2018-01-15 18:11:51,2018-01-15 18:11:52,0.058s,PASSED
setText,Firefox 57.0,,2018-01-15 18:11:52,2018-01-15 18:11:52,0.050s,PASSED
click,Firefox 57.0,Click Sign In Button,2018-01-15 18:11:52,2018-01-15 18:11:53,1.871s,PASSED
Statement - isBrowseButtonShowing = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Modern Requirements4TFS 2018/a_Browse)),Firefox 57.0,,2018-01-15 18:11:53,2018-01-15 18:11:53,0.025s,PASSED
"Statement - assert isBrowseButtonShowing == ""Browse""",Firefox 57.0,,2018-01-15 18:11:53,2018-01-15 18:11:53,0.001s,PASSED
,,,,,,
Test Cases/OpenProject,Firefox 57.0,Open Project In Mr4Tfs,2018-01-15 18:11:54,2018-01-15 18:11:56,2.645s,PASSED
click,Firefox 57.0,,2018-01-15 18:11:54,2018-01-15 18:11:54,0.222s,PASSED
click,Firefox 57.0,,2018-01-15 18:11:54,2018-01-15 18:11:54,0.233s,PASSED
click,Firefox 57.0,,2018-01-15 18:11:54,2018-01-15 18:11:55,0.770s,PASSED
waitForElementClickable,Firefox 57.0,,2018-01-15 18:11:55,2018-01-15 18:11:56,1.048s,PASSED
click,Firefox 57.0,,2018-01-15 18:11:56,2018-01-15 18:11:56,0.264s,PASSED
